Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P250,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P250,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P250,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P250,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P250,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P250,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P250,100,0,0,0,0,False,False,False,242.2266,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P250,100,0,0,0,0,False,False,False,242.9297,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P250,100,0,0,0,0,False,False,False,245.3906,6.679688
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,0,0,0,0,False,False,False,251.0156,8.085938
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,0,0,0,0,False,False,False,259.1016,9.140625
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,0,0,0,0,False,False,False,267.1875,9.84375
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,0,0,0,0,False,False,False,269.6484,10.19531
