Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.6484,0.3515625
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.6484,0.3515625
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.6484,0.3515625
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.6484,0.3515625
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.6484,0.3515625
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.6484,0
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.2969,0.3515625
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.2969,0.3515625
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.2969,0.703125
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.6484,0.703125
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.6484,1.054688
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.6484,1.054688
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.6484,0.703125
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.6484,0
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.6484,0
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.6484,0.703125
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.6484,0.703125
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.6484,0.703125
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.6484,0.703125
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.6484,0.3515625
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,0,0.3515625
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,358.9453,359.6484
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,358.2422,1.054688
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,357.8906,1.40625
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,357.8906,1.40625
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,357.8906,1.40625
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,357.8906,1.054688
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,358.5938,1.054688
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,358.9453,1.054688
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,358.9453,1.054688
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.2969,1.054688
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.6484,1.40625
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.6484,1.40625
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.6484,1.054688
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.2969,0.703125
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.2969,0.3515625
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.2969,0.3515625
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.2969,0.3515625
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.2969,0.3515625
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.2969,0.3515625
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.2969,0.3515625
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.2969,0.3515625
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,358.9453,0.3515625
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,358.9453,0
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,358.9453,0
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,358.9453,0
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,358.9453,0
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,358.9453,0
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.2969,0.3515625
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.2969,0.3515625
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.2969,0
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.2969,359.6484
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.2969,359.6484
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.2969,359.6484
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.2969,359.6484
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.2969,359.6484
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.2969,359.6484
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.2969,359.6484
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.6484,359.2969
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,1.054688,358.9453
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,1.054688,358.9453
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,0.703125,359.6484
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,0.703125,359.6484
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,0.703125,359.6484
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,0.703125,359.6484
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,0.3515625,359.6484
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,0.3515625,359.6484
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,0.3515625,359.6484
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,0.3515625,359.6484
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,0.3515625,359.6484
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,0.3515625,359.6484
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,0.3515625,359.6484
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,0.3515625,359.6484
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,0.3515625,359.6484
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,0.3515625,359.6484
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,0.3515625,359.6484
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,0.3515625,359.6484
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,0.3515625,359.6484
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,0.3515625,359.6484
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,0.3515625,359.6484
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,0.3515625,359.6484
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,0.3515625,359.6484
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,0.3515625,359.6484
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,0.3515625,359.6484
