Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Glock,100,0,0,0,0,False,False,False,189.8437,1.757813
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Flash,100,0,0,0,0,False,False,False,242.2266,5.273438
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Flash,100,0,0,0,0,False,False,False,242.2266,5.273438
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Flash,100,0,0,0,0,False,False,False,242.2266,5.273438
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Flash,100,0,0,0,0,False,False,False,242.2266,5.273438
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Flash,100,0,0,0,0,False,False,False,242.2266,5.273438
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Flash,100,0,0,0,0,False,False,False,242.2266,5.273438
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Flash,100,0,0,0,0,False,False,False,242.2266,5.273438
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Flash,100,0,0,0,0,False,False,False,242.2266,5.273438
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Flash,100,0,0,0,0,False,False,False,242.2266,5.273438
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Flash,100,0,0,0,0,False,False,False,242.2266,5.273438
