Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
[R] NillE ;-),CounterTerrorist,2361,2200,127.2175,Flash,100,100,0,0,0,False,True,False,70.66406,23.90625
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,155.7422,3.867188
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,155.3906,3.867188
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,155.3906,3.867188
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,155.3906,3.867188
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,155.3906,3.867188
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,155.3906,3.867188
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,155.3906,3.867188
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,155.3906,3.867188
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,155.3906,3.867188
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,155.3906,3.867188
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,M4A1,100,100,0,0,0,False,True,False,155.3906,3.867188
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,M4A1,100,100,0,0,0,False,True,False,155.3906,3.867188
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,M4A1,100,100,0,0,0,False,True,False,155.3906,3.867188
