Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Glock,100,0,0,0,0,False,False,False,22.5,6.679688
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,100,0,0,0,False,True,False,269.6484,9.140625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,100,0,0,0,False,True,False,269.2969,8.789063
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,100,0,0,0,False,True,False,267.8906,8.085938
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,HE,100,100,0,0,0,False,True,False,266.8359,6.328125
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,HE,100,100,0,0,0,False,True,False,267.1875,4.21875
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Flash,100,100,0,0,0,False,True,False,268.2422,2.460938
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Flash,100,100,0,0,0,False,True,False,268.2422,2.460938
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Glock,100,100,0,0,0,False,True,False,268.2422,2.109375
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Glock,100,100,0,0,0,False,True,False,266.8359,1.054688
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,AK47,100,100,0,0,0,False,True,False,266.8359,1.054688
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,100,0,0,0,False,True,False,266.8359,1.054688
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,100,0,0,0,False,True,False,266.8359,1.054688
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,100,0,0,0,False,True,False,266.8359,0.3515625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,100,0,0,0,False,True,False,266.8359,0.703125
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,100,0,0,0,False,True,False,266.8359,0.703125
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,100,0,0,0,False,True,False,266.8359,0.3515625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,AK47,100,100,0,0,0,False,True,False,267.5391,0.703125
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,AK47,100,100,0,0,0,False,True,False,267.5391,0.703125
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,AK47,100,100,0,0,0,False,True,False,267.5391,0.703125
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,100,0,0,0,False,True,False,267.5391,0.703125
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,100,0,0,0,False,True,False,267.5391,0.703125
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,100,0,0,0,False,True,False,267.1875,0.703125
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,100,0,0,0,False,True,False,267.1875,0.703125
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,HE,100,100,0,0,0,False,True,False,267.1875,0.703125
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,HE,100,100,0,0,0,False,True,False,267.1875,0.703125
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Flash,100,100,0,0,0,False,True,False,267.1875,0.703125
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Flash,100,100,0,0,0,False,True,False,267.1875,0.703125
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Flash,100,100,0,0,0,False,True,False,267.1875,0.703125
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Glock,100,100,0,0,0,False,True,False,267.1875,0.703125
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Glock,100,100,0,0,0,False,True,False,267.5391,0.703125
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,AK47,100,100,0,0,0,False,True,False,267.5391,1.054688
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,100,0,0,0,False,True,False,267.5391,1.054688
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,100,0,0,0,False,True,False,268.2422,1.054688
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,100,0,0,0,False,True,False,268.2422,1.054688
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,100,0,0,0,False,True,False,268.2422,1.054688
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,100,0,0,0,False,True,False,268.2422,1.054688
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,100,0,0,0,False,True,False,268.2422,0.703125
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,HE,100,100,0,0,0,False,True,False,268.5938,0.703125
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,HE,100,100,0,0,0,False,True,False,268.5938,0.703125
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,HE,100,100,0,0,0,False,True,False,268.5938,0.703125
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,HE,100,100,0,0,0,False,True,False,268.5938,0.703125
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Glock,100,100,0,0,0,False,True,False,268.5938,0.703125
