Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,250.3125,6.328125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,250.3125,6.328125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,250.3125,6.328125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,250.6641,6.328125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,250.6641,6.328125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,250.3125,6.328125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,250.3125,6.328125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,249.9609,5.625
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,249.6094,4.921875
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,249.2578,3.867188
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,248.2031,2.8125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,247.8516,2.460938
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,247.5,2.109375
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,247.5,2.109375
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,247.5,2.109375
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,247.5,2.109375
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,247.5,2.109375
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,247.5,2.109375
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,247.5,2.460938
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,247.5,2.8125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,247.5,3.164063
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,247.8516,3.867188
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,248.2031,4.570313
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,248.2031,5.273438
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,248.2031,5.976563
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,248.2031,6.328125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,248.5547,6.679688
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,248.5547,6.679688
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,248.9063,6.679688
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,248.9063,6.328125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,248.9063,6.328125
