Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Bomb,100,0,0,0,0,False,False,False,185.625,7.03125
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,281.9531,21.09375
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,282.3047,17.92969
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,281.6016,14.76563
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,280.8984,12.65625
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,281.6016,12.65625
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,281.9531,12.65625
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,281.9531,12.65625
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,282.3047,11.95313
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,281.6016,8.4375
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,280.8984,6.328125
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,280.5469,5.273438
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,280.8984,5.273438
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,280.5469,5.625
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,280.1953,5.976563
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,279.4922,7.03125
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,279.1406,8.085938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,278.7891,8.4375
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,278.4375,7.382813
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,278.0859,5.625
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,278.0859,5.625
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,278.4375,5.976563
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,278.4375,5.976563
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,279.1406,6.679688
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,279.8438,6.679688
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,280.1953,4.921875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,281.25,3.164063
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,282.6563,2.109375
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,284.0625,1.757813
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,285.4688,1.757813
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,286.5234,2.109375
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,286.5234,2.109375
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,286.5234,2.109375
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,286.5234,2.109375
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,286.5234,2.109375
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,286.5234,2.109375
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,286.5234,2.109375
