Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,299.8828,3.515625
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,299.8828,3.515625
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,299.8828,3.164063
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,299.8828,3.164063
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,299.8828,3.164063
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,299.8828,3.164063
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,300.2344,3.515625
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,300.5859,3.515625
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,300.5859,3.515625
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,300.9375,3.515625
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,300.9375,3.515625
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,300.9375,3.515625
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,301.2891,3.515625
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,301.2891,3.515625
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,301.2891,3.515625
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,301.2891,3.515625
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,301.2891,3.867188
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,301.6406,3.867188
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,301.6406,3.867188
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,301.9922,3.867188
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,3.867188
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,303.0469,3.867188
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,303.3984,3.867188
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,303.75,3.867188
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,303.75,3.867188
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,303.75,3.867188
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,303.75,3.867188
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,304.1016,3.867188
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,304.4531,3.867188
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,304.4531,4.21875
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,304.4531,4.21875
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,304.4531,4.21875
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,304.4531,4.21875
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,304.8047,4.21875
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,304.8047,4.21875
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,305.1563,4.21875
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,305.1563,4.21875
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,305.1563,4.21875
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,305.1563,4.21875
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,305.1563,4.21875
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,305.5078,4.21875
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,305.5078,4.21875
PnX | CSGOmall.com,Terrorist,-1606.272,503.2993,-63.96875,Knife,100,100,30.89782,-63.67068,0,False,True,False,306.2109,4.570313
PnX | CSGOmall.com,Terrorist,-1603.631,498.4785,-63.96877,Knife,100,100,51.96252,-107.5379,0,False,True,False,306.9141,4.921875
PnX | CSGOmall.com,Terrorist,-1601.064,488.7486,-63.9688,Knife,100,100,25.68058,-160.3941,0,False,True,False,307.6172,5.273438
PnX | CSGOmall.com,Terrorist,-1599.148,477.7282,-63.9688,Knife,100,100,47.20716,-183.8385,0,False,True,False,308.6719,5.625
PnX | CSGOmall.com,Terrorist,-1595.259,465.7067,-63.9688,Knife,100,100,59.53813,-202.1358,0,False,True,False,308.6719,5.273438
PnX | CSGOmall.com,Terrorist,-1592.708,453.9848,-63.9688,Knife,100,100,37.81599,-222.7133,0,False,True,False,308.6719,5.273438
PnX | CSGOmall.com,Terrorist,-1590.29,437.6974,-63.9688,Knife,100,100,47.62342,-233.5134,0,False,True,False,308.6719,5.273438
PnX | CSGOmall.com,Terrorist,-1586.665,424.9672,-63.9688,Knife,100,100,79.06805,-232.2789,0,False,True,False,308.6719,5.273438
PnX | CSGOmall.com,Terrorist,-1580.766,410.5666,-63.9688,Knife,100,100,104.3037,-227.202,0,False,True,False,308.6719,5.273438
PnX | CSGOmall.com,Terrorist,-1575.107,393.9465,-63.9688,Knife,100,100,63.24189,-241.8687,0,False,True,False,308.6719,5.273438
PnX | CSGOmall.com,Terrorist,-1571.245,378.8129,-63.9688,Knife,100,100,73.70886,-238.887,0,False,True,False,308.6719,5.625
PnX | CSGOmall.com,Terrorist,-1566.416,366.0291,-63.9688,Knife,100,100,98.67227,-229.7037,0,False,True,False,311.8359,5.273438
PnX | CSGOmall.com,Terrorist,-1561.17,351.3214,-63.9688,Knife,100,100,72.00728,-239.4054,0,False,True,False,316.0547,5.273438
PnX | CSGOmall.com,Terrorist,-1556.74,334.3245,-63.9688,Knife,100,100,68.46046,-239.5528,0,False,True,False,319.9219,5.273438
PnX | CSGOmall.com,Terrorist,-1550.919,319.9094,-63.9688,Knife,100,100,110.9539,-223.7545,0,False,True,False,323.4375,5.273438
