Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,CounterTerrorist,2541.214,1273.716,160.0313,USP,100,0,-122.4066,-206.4379,0,False,False,False,233.0859,359.6484
SK.xelos4s ;E,CounterTerrorist,2533.322,1260.943,160.0313,Knife,100,0,-129.5661,-204.2921,0,False,False,False,233.789,0.3515625
SK.xelos4s ;E,CounterTerrorist,2524.913,1247.909,160.0313,Knife,100,0,-136.0102,-209.7646,0,False,False,False,236.9531,1.757813
SK.xelos4s ;E,CounterTerrorist,2516.495,1234.745,160.0313,Knife,100,0,-132.9595,-211.7115,0,False,False,False,241.875,2.460938
SK.xelos4s ;E,CounterTerrorist,2508.535,1221.665,160.0313,USP,100,0,-122.2953,-206.5039,0,False,False,False,244.6875,2.8125
SK.xelos4s ;E,CounterTerrorist,2501.104,1208.636,160.0313,USP,100,0,-116.546,-209.8023,0,False,False,False,245.0391,2.8125
SK.xelos4s ;E,CounterTerrorist,2493.969,1195.441,160.0313,USP,100,0,-112.5089,-211.9947,0,False,False,False,244.6875,2.8125
SK.xelos4s ;E,CounterTerrorist,2489.031,1182.111,160.0313,USP,100,0,0,-215.9324,0,False,False,False,244.3359,2.8125
SK.xelos4s ;E,CounterTerrorist,2489.031,1168.285,160.0313,USP,100,0,0,-224.5176,0,False,False,False,240.1172,2.8125
SK.xelos4s ;E,CounterTerrorist,2488.524,1154.203,160.0313,USP,100,0,-26.15577,-223.7394,0,False,False,False,225,2.8125
SK.xelos4s ;E,CounterTerrorist,2484.952,1140.809,160.0313,USP,100,0,-81.2178,-204.1216,0,False,False,False,204.2578,1.40625
SK.xelos4s ;E,CounterTerrorist,2478.078,1129.229,160.0313,USP,100,0,-130.9053,-169.4691,0,False,False,False,190.1953,359.6484
SK.xelos4s ;E,CounterTerrorist,2468.584,1120.282,160.0313,USP,100,0,-162.8618,-111.1211,0,False,False,False,185.2734,359.2969
SK.xelos4s ;E,CounterTerrorist,2457.875,1116.115,160.0313,USP,100,0,-177.8089,-36.10799,0,False,False,False,188.789,359.2969
SK.xelos4s ;E,CounterTerrorist,2446.186,1115.638,160.0313,USP,100,0,-194.7868,10.10276,0,False,False,False,200.7422,359.2969
SK.xelos4s ;E,CounterTerrorist,2433.302,1116.916,160.0313,USP,100,0,-215.0449,23.79837,0,False,False,False,220.7813,359.6484
