Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,92,0,0,0,False,True,True,233.4375,5.273438
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,92,0,0,0,False,True,True,233.4375,5.273438
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,92,0,0,0,False,True,True,233.4375,5.273438
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,92,0,0,0,False,True,True,233.4375,5.273438
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,HE,100,92,0,0,0,False,True,True,233.4375,5.273438
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,HE,100,92,0,0,0,False,True,True,233.4375,5.273438
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,HE,100,92,0,0,0,False,True,True,233.4375,5.273438
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,92,0,0,0,False,True,True,216.9141,6.328125
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,92,0,0,0,False,True,True,185.625,7.734375
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,92,0,0,0,False,True,True,167.3438,4.21875
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,92,0,0,0,False,True,True,168.3984,3.515625
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,92,0,0,0,False,True,True,168.3984,3.515625
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,HE,100,92,0,0,0,False,True,True,168.3984,3.515625
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,HE,100,92,0,0,0,False,True,True,168.3984,3.515625
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,92,0,0,0,False,True,True,168.3984,3.515625
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,92,0,0,0,False,True,True,168.3984,3.515625
