Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,0,0,0,0,False,False,False,219.0234,21.44531
[R] NillE ;-),CounterTerrorist,2220.106,2278.884,130.8836,Knife,100,100,-231.2334,95.03213,0,False,True,False,158.5547,2.109375
[R] NillE ;-),CounterTerrorist,2205.643,2284.797,131.5304,Knife,100,100,-231.5289,94.31004,0,False,True,False,158.2031,2.109375
[R] NillE ;-),CounterTerrorist,2191.165,2290.672,133.6281,Knife,100,100,-231.7381,93.79486,0,False,True,False,158.2031,1.757813
[R] NillE ;-),CounterTerrorist,2176.675,2296.52,135.7996,Knife,100,100,-231.8913,93.41528,0,False,True,False,158.2031,1.757813
[R] NillE ;-),CounterTerrorist,2162.178,2302.348,140.0313,Knife,100,100,-232.001,93.14262,0,False,True,False,158.2031,1.757813
[R] NillE ;-),CounterTerrorist,2147.679,2308.172,140.0313,Knife,100,100,-231.9025,93.38766,0,False,True,False,157.5,2.109375
[R] NillE ;-),CounterTerrorist,2133.221,2314.096,140.0313,Knife,100,100,-230.6359,96.47321,0,False,True,False,153.6328,2.460938
[R] NillE ;-),CounterTerrorist,2120.69,2319.563,140.0313,Knife,100,100,-227.719,103.17,0,False,True,False,149.0625,3.164063
[R] NillE ;-),CounterTerrorist,2104.906,2327.295,140.0313,Knife,100,100,-221.6545,115.6257,0,False,True,False,144.4922,3.515625
[R] NillE ;-),CounterTerrorist,2091.258,2334.899,140.0313,Knife,100,100,-215.8813,126.0765,0,False,True,False,142.7344,3.867188
[R] NillE ;-),CounterTerrorist,2079.59,2342.024,140.0313,Knife,100,100,-211.6343,133.0824,0,False,True,False,142.3828,3.867188
[R] NillE ;-),CounterTerrorist,2064.87,2351.63,140.0313,Knife,100,100,-207.7447,139.0761,0,False,True,False,142.3828,3.867188
[R] NillE ;-),CounterTerrorist,2053.58,2359.341,140.0313,Knife,100,100,-205.5351,142.3212,0,False,True,False,142.3828,3.515625
[R] NillE ;-),CounterTerrorist,2039.218,2369.476,140.0313,Knife,100,100,-203.3451,145.433,0,False,True,False,142.3828,3.515625
[R] NillE ;-),CounterTerrorist,2026.562,2378.639,140.0313,Knife,100,100,-201.8781,147.4627,0,False,True,False,142.0313,3.515625
[R] NillE ;-),CounterTerrorist,2013.987,2387.913,140.0313,Knife,100,100,-200.7122,149.0457,0,False,True,False,142.0313,3.515625
[R] NillE ;-),CounterTerrorist,2001.474,2397.271,140.0313,Knife,100,100,-199.8471,150.2036,0,False,True,False,142.0313,3.515625
[R] NillE ;-),CounterTerrorist,1990.564,2405.51,140.0313,Knife,100,100,-199.2775,150.9586,0,False,True,False,142.0313,3.515625
[R] NillE ;-),CounterTerrorist,1976.574,2416.153,140.0313,Knife,100,100,-198.7353,151.6716,0,False,True,False,142.0313,3.515625
