Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,0,0,0,0,False,False,False,170.8594,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,0,0,0,0,False,False,False,163.4766,6.679688
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,6.328125
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,6.328125
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,6.328125
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,6.328125
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,6.328125
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.6641,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,160.3125,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Deagle,100,0,0,0,0,False,False,False,160.3125,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Deagle,100,0,0,0,0,False,False,False,170.1563,11.25
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Deagle,100,0,0,0,0,False,False,False,169.4531,11.25
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Deagle,100,0,0,0,0,False,False,False,168.75,11.25
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Deagle,100,0,0,0,0,False,False,False,168.0469,11.60156
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Deagle,100,0,0,0,0,False,False,False,168.0469,11.60156
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Deagle,100,0,0,0,0,False,False,False,168.0469,11.60156
