Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,195.1172,5.273438
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,195.1172,5.273438
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,195.1172,5.273438
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,195.1172,5.273438
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,195.1172,5.273438
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,195.1172,5.273438
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,195.1172,5.273438
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,195.1172,5.273438
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,195.1172,5.273438
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,195.1172,5.273438
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,195.1172,5.273438
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,195.1172,5.273438
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,196.875,5.976563
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,218.6719,11.95313
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,256.6406,19.6875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,295.3125,24.60938
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,322.3828,25.3125
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,329.0625,25.3125
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,329.0625,25.3125
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,329.0625,25.3125
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,330.1172,26.01563
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,338.5547,27.42188
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,343.8281,27.07031
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,344.1797,26.01563
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,344.1797,25.66406
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,344.1797,25.66406
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,344.1797,25.66406
