Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Flash,100,100,0,0,0,False,True,True,88.94531,19.33594
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Flash,100,100,0,0,0,False,True,True,88.94531,19.33594
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Flash,100,100,0,0,0,False,True,True,88.94531,19.33594
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Flash,100,100,0,0,0,False,True,True,88.94531,19.33594
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Flash,100,100,0,0,0,False,True,True,88.94531,19.33594
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Flash,100,100,0,0,0,False,True,True,88.94531,19.33594
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Flash,100,100,0,0,0,False,True,True,88.94531,19.33594
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Flash,100,100,0,0,0,False,True,True,88.94531,19.33594
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Flash,100,100,0,0,0,False,True,True,88.94531,19.33594
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Flash,100,100,0,0,0,False,True,True,88.94531,19.33594
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Flash,100,100,0,0,0,False,True,True,88.94531,19.33594
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Flash,100,100,0,0,0,False,True,True,88.94531,19.33594
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Flash,100,100,0,0,0,False,True,True,88.94531,19.33594
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Flash,100,100,0,0,0,False,True,True,88.94531,19.33594
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Flash,100,100,0,0,0,False,True,True,88.94531,19.33594
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Flash,100,100,0,0,0,False,True,True,88.94531,19.33594
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Flash,100,100,0,0,0,False,True,True,88.94531,19.33594
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Smoke,100,100,0,0,0,False,True,True,88.94531,19.33594
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Smoke,100,100,0,0,0,False,True,True,88.94531,19.33594
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Smoke,100,100,0,0,0,False,True,True,88.94531,19.33594
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Smoke,100,100,0,0,0,False,True,True,88.94531,19.33594
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Smoke,100,100,0,0,0,False,True,True,88.94531,19.33594
