Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
[R] NillE ;-),CounterTerrorist,1439.263,793.4067,138.192,MP7,100,0,-81.32147,-204.2665,0,False,False,False,228.5156,1.757813
[R] NillE ;-),CounterTerrorist,1435.115,780.3052,136.8756,MP7,100,0,-56.27678,-212.6803,0,False,False,False,225.7031,1.757813
[R] NillE ;-),CounterTerrorist,1432.204,766.8699,135.5983,MP7,100,0,-40.08296,-216.3177,0,False,False,False,223.9453,1.757813
[R] NillE ;-),CounterTerrorist,1431.09,753.4803,134.4221,MP7,100,0,5.840138,-211.3173,0,False,False,False,221.4844,1.757813
[R] NillE ;-),CounterTerrorist,1433.004,740.4236,133.3198,MP7,100,0,47.61117,-207.5647,0,False,False,False,218.6719,1.757813
[R] NillE ;-),CounterTerrorist,1437.031,727.4919,132.3263,MP7,100,0,75.7724,-206.5394,0,False,False,False,216.211,1.757813
[R] NillE ;-),CounterTerrorist,1442.348,714.8148,131.4665,MP7,100,0,91.01265,-200.2915,0,False,False,False,213.3984,2.109375
[R] NillE ;-),CounterTerrorist,1448.336,702.438,130.6934,MP7,100,0,98.40392,-196.7655,0,False,False,False,209.8828,2.109375
[R] NillE ;-),CounterTerrorist,1454.528,690.1612,130.0113,MP7,100,0,98.68845,-196.623,0,False,False,False,204.2578,2.109375
[R] NillE ;-),CounterTerrorist,1459.781,679.338,129.4925,MP7,100,0,93.27511,-199.248,0,False,False,False,198.2813,2.109375
[R] NillE ;-),CounterTerrorist,1465.891,665.129,128.7851,MP7,100,0,81.3269,-204.4161,0,False,False,False,192.6563,1.757813
[R] NillE ;-),CounterTerrorist,1470.562,652.1987,128.0505,MP7,100,0,69.73406,-208.6556,0,False,False,False,190.1953,1.40625
[R] NillE ;-),CounterTerrorist,1474.567,639.0463,127.2256,MP7,100,0,60.09381,-211.6335,0,False,False,False,189.4922,1.40625
[R] NillE ;-),CounterTerrorist,1478.072,625.7509,126.335,MP7,100,0,53.33249,-213.4377,0,False,False,False,189.4922,1.40625
[R] NillE ;-),CounterTerrorist,1481.155,612.8157,126.2217,MP7,100,0,43.16387,-181.5044,0,False,False,False,189.1406,1.40625
[R] NillE ;-),CounterTerrorist,1483.049,605.6804,126.4362,MP7,100,0,21.38012,-66.87772,0,False,False,False,188.789,1.757813
[R] NillE ;-),CounterTerrorist,1483.658,604.7751,126.4946,MP7,100,0,0.2221409,19.1875,0,False,False,False,187.3828,2.109375
[R] NillE ;-),CounterTerrorist,1483.406,607.8746,126.4603,MP7,100,0,-6.768265,73.28167,0,False,False,False,185.9766,2.460938
[R] NillE ;-),CounterTerrorist,1482.782,614.2115,126.3711,MP7,100,0,-12.46609,121.1363,0,False,False,False,187.0313,2.109375
[R] NillE ;-),CounterTerrorist,1480.511,622.3286,126.2658,MP7,100,0,-57.82339,133.2936,0,False,False,False,187.3828,2.109375
