Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,1988.211,1799.553,155.5016,Knife,100,98,-246.9374,-39.01186,0,False,True,False,242.5781,4.570313
PnX | CSGOmall.com,Terrorist,1972.864,1796.631,159.1605,Knife,100,98,-244.3343,-52.92217,0,False,True,False,246.4453,4.570313
PnX | CSGOmall.com,Terrorist,1957.714,1792.816,160.3204,Knife,100,98,-240.7666,-67.31615,0,False,True,False,249.9609,4.570313
PnX | CSGOmall.com,Terrorist,1944.092,1786.587,160.3204,Knife,100,98,-201.3628,-122.5595,0,False,True,False,252.7734,4.570313
PnX | CSGOmall.com,Terrorist,1932.671,1777.402,160.15,Knife,100,98,-169.3129,-164.1819,0,False,True,False,254.8828,4.21875
PnX | CSGOmall.com,Terrorist,1923.005,1766.001,160.0313,Knife,100,98,-144.1555,-195.2645,0,False,True,False,255.5859,4.21875
PnX | CSGOmall.com,Terrorist,1914.708,1752.964,160.0313,Knife,100,98,-124.1629,-216.9875,0,False,True,False,255.9375,4.21875
PnX | CSGOmall.com,Terrorist,1907.611,1739.048,160.0313,Knife,100,98,-106.0707,-226.3824,0,False,True,False,255.9375,4.21875
PnX | CSGOmall.com,Terrorist,1901.468,1724.684,160.0313,Knife,100,98,-92.87794,-232.1071,0,False,True,False,255.9375,4.21875
PnX | CSGOmall.com,Terrorist,1896.663,1711.885,160.0313,Knife,100,98,-84.47153,-235.2968,0,False,True,False,255.9375,4.21875
PnX | CSGOmall.com,Terrorist,1891.029,1695.235,160.0313,Knife,100,98,-77.12003,-237.8077,0,False,True,False,255.9375,4.21875
PnX | CSGOmall.com,Terrorist,1886.374,1680.319,160.0313,Knife,100,98,-72.65751,-239.2089,0,False,True,False,255.9375,4.21875
