Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,Terrorist,-1264.54,327.2686,-55.96875,Knife,100,0,128.7376,214.305,0,False,False,False,40.07813,2.460938
SK.xelos4s ;E,Terrorist,-1255.703,340.1465,-55.96875,Knife,100,0,150.0368,199.9724,0,False,False,False,39.02344,2.460938
SK.xelos4s ;E,Terrorist,-1245.798,352.2267,-55.96875,Knife,100,0,164.2048,188.512,0,False,False,False,39.02344,2.460938
SK.xelos4s ;E,Terrorist,-1235.289,363.782,-55.96875,Knife,100,0,163.8328,188.157,0,False,False,False,39.02344,2.460938
SK.xelos4s ;E,Terrorist,-1226.347,376.5249,-55.96875,Knife,100,0,128.2744,214.5826,0,False,False,False,39.02344,1.757813
SK.xelos4s ;E,Terrorist,-1219.352,390.4858,-55.96875,Knife,100,0,100.6139,228.8599,0,False,False,False,37.61719,1.054688
SK.xelos4s ;E,Terrorist,-1213.736,405.063,-55.96875,Knife,100,0,82.8486,235.8731,0,False,False,False,34.80469,1.054688
SK.xelos4s ;E,Terrorist,-1208.92,419.9263,-55.96875,Knife,100,0,73.97253,238.8055,0,False,False,False,31.28906,1.054688
SK.xelos4s ;E,Terrorist,-1204.323,434.8597,-55.96875,Knife,100,0,74.47686,238.6487,0,False,False,False,24.60938,0.703125
SK.xelos4s ;E,Terrorist,-1198.458,448.9941,-55.96875,Knife,100,0,115.9728,211.1655,0,False,False,False,20.74219,0.3515625
SK.xelos4s ;E,Terrorist,-1189.705,461.1776,-55.96875,Knife,100,0,156.7133,184.168,0,False,False,False,23.20313,0.3515625
SK.xelos4s ;E,Terrorist,-1179.099,471.8394,-55.96875,Glock,100,0,178.1401,160.8295,0,False,False,False,24.25781,0.3515625
SK.xelos4s ;E,Terrorist,-1167.434,481.2623,-55.96875,Glock,100,0,192.291,143.6113,0,False,False,False,24.25781,0.3515625
SK.xelos4s ;E,Terrorist,-1155.078,489.7624,-55.96875,Glock,100,0,201.3738,130.5702,0,False,False,False,23.55469,359.6484
SK.xelos4s ;E,Terrorist,-1142.246,497.5272,-55.96875,Glock,100,0,208.0416,119.6607,0,False,False,False,22.5,357.8906
SK.xelos4s ;E,Terrorist,-1129.071,504.6946,-52.50041,Glock,100,0,212.7094,111.1517,0,False,False,False,21.79688,356.4844
SK.xelos4s ;E,Terrorist,-1115.661,511.4162,-45.79582,Glock,100,0,215.7812,105.0642,0,False,False,False,21.79688,356.4844
SK.xelos4s ;E,Terrorist,-1100.397,518.6107,-39.96875,Glock,100,0,217.9659,100.4533,0,False,False,False,22.14844,356.8359
SK.xelos4s ;E,Terrorist,-1088.443,524.0294,-39.96875,Glock,100,0,219.0304,98.1106,0,False,False,False,22.14844,357.5391
SK.xelos4s ;E,Terrorist,-1074.719,530.0839,-39.96875,Glock,100,0,219.9557,96.01818,0,False,False,False,22.14844,357.5391
SK.xelos4s ;E,Terrorist,-1060.948,536.0292,-39.96875,Glock,100,0,220.6115,94.50168,0,False,False,False,22.14844,357.5391
