Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,356.4844,0
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,337.1484,0.3515625
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,339.6094,357.8906
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,338.9063,357.5391
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,338.5547,354.375
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,338.2031,354.0234
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,337.1484,355.0781
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.0391,358.5938
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,332.2266,1.054688
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,330.8203,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,330.4688,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,330.8203,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,330.8203,2.109375
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,331.1719,2.109375
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,331.1719,2.109375
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,331.1719,2.109375
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,331.1719,2.109375
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,331.1719,2.109375
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,331.1719,2.109375
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,331.1719,2.109375
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,331.1719,2.109375
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,331.1719,2.109375
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,331.1719,2.109375
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,331.1719,2.109375
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,331.1719,2.109375
