Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Deagle,100,85,0,0,0,False,True,False,277.7344,13.71094
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Famas,100,85,0,0,0,False,True,False,277.0313,13.71094
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Famas,100,85,0,0,0,False,True,False,276.3281,13.71094
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,276.3281,13.71094
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,276.3281,13.71094
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,275.9766,13.71094
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,275.9766,13.35938
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,275.9766,13.00781
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Deagle,100,85,0,0,0,False,True,False,275.9766,13.00781
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Deagle,100,85,0,0,0,False,True,False,276.3281,13.00781
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Deagle,100,85,0,0,0,False,True,False,276.3281,13.00781
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Famas,100,85,0,0,0,False,True,False,276.3281,13.00781
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Famas,100,85,0,0,0,False,True,False,276.3281,13.00781
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Famas,100,85,0,0,0,False,True,False,276.3281,13.00781
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Famas,100,85,0,0,0,False,True,False,276.3281,13.00781
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Famas,100,85,0,0,0,False,True,False,276.3281,13.00781
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,276.3281,13.00781
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,276.3281,13.00781
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,276.3281,13.00781
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,HE,100,85,0,0,0,False,True,False,276.3281,13.00781
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,HE,100,85,0,0,0,False,True,False,276.6797,13.00781
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Flash,100,85,0,0,0,False,True,False,276.6797,13.00781
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Flash,100,85,0,0,0,False,True,False,276.6797,13.00781
