Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,42.1875,8.4375
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,359.2969,8.4375
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,315,7.734375
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,280.1953,6.679688
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,257.3438,7.382813
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,250.3125,7.734375
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,250.3125,7.734375
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,250.3125,7.734375
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,250.3125,7.734375
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,250.3125,7.734375
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,250.3125,7.734375
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,250.3125,7.734375
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,250.3125,7.734375
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,247.1484,6.679688
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,242.9297,5.625
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.8203,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.1172,7.734375
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.1172,7.734375
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.1172,7.734375
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.1172,7.734375
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.1172,7.734375
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.1172,7.734375
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.1172,7.382813
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.1172,7.382813
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,240.1172,7.382813
