Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,P2000,100,92,0,0,0,False,False,False,100.5469,359.2969
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,Decoy,100,92,0,0,0,False,False,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,Decoy,100,92,0,0,0,False,False,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,Decoy,100,92,0,0,0,False,False,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,Decoy,100,92,0,0,0,False,False,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,Decoy,100,92,0,0,0,False,False,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,Decoy,100,92,0,0,0,False,False,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,Decoy,100,92,0,0,0,False,False,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,Decoy,100,92,0,0,0,False,False,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,Decoy,100,92,0,0,0,False,False,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,Decoy,100,92,0,0,0,False,False,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,Decoy,100,92,0,0,0,False,False,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,Decoy,100,92,0,0,0,False,False,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,Decoy,100,92,0,0,0,False,False,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,Decoy,100,92,0,0,0,False,False,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,Decoy,100,92,0,0,0,False,False,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,Decoy,100,92,0,0,0,False,False,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,92,0,0,0,False,False,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,13.00781
