Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,144.8438,12.65625
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,150.1172,14.76563
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,151.1719,14.76563
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,151.1719,14.76563
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,151.1719,14.76563
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,158.9063,14.76563
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,198.6328,14.76563
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,234.1406,13.71094
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,249.9609,13.35938
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,251.0156,13.00781
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,251.3672,12.65625
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,253.8281,13.00781
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,256.9922,12.65625
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,258.3984,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,258.3984,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,258.3984,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,258.3984,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,257.6953,12.65625
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,256.9922,13.00781
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,256.9922,13.00781
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,256.9922,13.00781
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,256.9922,13.00781
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,256.9922,13.00781
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,256.9922,13.00781
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,256.9922,13.00781
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,256.9922,13.00781
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,248.2031,12.65625
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,211.9922,12.65625
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,173.3203,13.00781
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,154.3359,13.00781
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,154.3359,14.0625
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,154.3359,14.0625
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,154.3359,14.0625
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,154.3359,14.0625
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,154.3359,14.0625
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,154.3359,14.0625
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,153.9844,14.0625
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,153.9844,13.71094
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,153.6328,13.71094
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,153.2813,13.71094
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,152.2266,13.71094
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,150.8203,13.71094
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,150.4688,13.71094
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,150.4688,13.71094
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,150.4688,13.71094
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,150.4688,13.71094
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,150.4688,13.71094
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,150.4688,13.71094
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,150.4688,13.71094
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,150.4688,13.71094
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,150.4688,13.71094
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,150.4688,13.71094
[R] NillE ;-),CounterTerrorist,2431.387,2184.349,124.2712,Flash,100,0,-29.92103,17.04915,0,False,False,False,150.4688,13.71094
[R] NillE ;-),CounterTerrorist,2427.592,2186.511,124.2715,Flash,100,0,-84.19521,47.93616,0,False,False,False,150.4688,13.71094
[R] NillE ;-),CounterTerrorist,2420.738,2190.407,124.591,Flash,100,0,-127.5518,72.38992,0,False,False,False,150.4688,13.71094
[R] NillE ;-),CounterTerrorist,2411.586,2195.58,124.7622,Flash,100,0,-159.7572,89.91795,0,False,False,False,151.1719,13.71094
[R] NillE ;-),CounterTerrorist,2400.709,2201.635,124.9784,Flash,100,0,-184.1803,101.5338,0,False,False,False,152.5781,13.35938
[R] NillE ;-),CounterTerrorist,2388.509,2208.261,125.2559,Knife,100,0,-203.3509,109.1884,0,False,False,False,153.2813,13.35938
[R] NillE ;-),CounterTerrorist,2376.947,2214.389,125.5251,Knife,100,0,-216.9863,113.9107,0,False,False,False,153.9844,13.35938
[R] NillE ;-),CounterTerrorist,2361.368,2222.452,125.8955,Knife,100,0,-222.518,113.9549,0,False,False,False,154.3359,13.35938
[R] NillE ;-),CounterTerrorist,2347.708,2229.37,126.7506,Flash,100,0,-219.0294,109.7776,0,False,False,False,155.0391,13.35938
[R] NillE ;-),CounterTerrorist,2333.974,2236.142,127.79,Flash,100,0,-220.2744,107.2575,0,False,False,False,156.0938,13.00781
[R] NillE ;-),CounterTerrorist,2320.172,2242.773,128.8416,Flash,100,0,-221.2236,105.2858,0,False,False,False,156.0938,13.00781
[R] NillE ;-),CounterTerrorist,2306.321,2249.301,129.296,Flash,100,0,-221.9063,103.8392,0,False,False,False,156.0938,13.00781
[R] NillE ;-),CounterTerrorist,2294.171,2254.948,129.4416,Flash,100,0,-222.3475,102.891,0,False,False,False,156.0938,13.00781
[R] NillE ;-),CounterTerrorist,2278.521,2262.146,129.6354,Flash,100,0,-222.7615,101.9917,0,False,False,False,156.0938,13.00781
[R] NillE ;-),CounterTerrorist,2266.33,2267.707,129.7749,Flash,100,0,-222.9963,101.4773,0,False,False,False,156.0938,13.00781
[R] NillE ;-),CounterTerrorist,2250.642,2274.822,129.9355,Flash,100,0,-223.2178,100.9892,0,False,False,False,156.0938,13.00781
[R] NillE ;-),CounterTerrorist,2236.686,2281.122,130.0806,Flash,100,0,-223.3593,100.6758,0,False,False,False,156.0938,13.00781
