Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,191.6016,11.25
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.4766,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.4766,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.125,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,295.3125,3.164063
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,291.4453,2.460938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,289.3359,3.515625
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,289.3359,3.515625
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,289.3359,3.515625
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,289.3359,3.515625
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,289.3359,3.515625
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,288.6328,3.164063
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,285.8203,2.109375
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,277.7344,0.3515625
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,268.9453,359.2969
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.1328,358.9453
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,359.2969
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,359.6484
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,359.6484
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,0.3515625
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,1.40625
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,2.460938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,2.460938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,2.460938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,2.460938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,2.460938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,2.460938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,2.460938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,2.460938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,2.460938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,2.460938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,2.460938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,2.460938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,2.460938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,2.460938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,2.460938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,2.460938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,2.460938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,2.460938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,2.460938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,2.460938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,2.460938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,2.460938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,2.460938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,2.460938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,2.460938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,2.460938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,2.460938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,2.460938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,2.460938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,2.460938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,2.460938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,2.460938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,2.460938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,2.460938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,2.460938
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,68,0,0,0,False,True,False,266.4844,2.460938
