Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,153.2813,3.515625
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,35.85938,358.9453
ALEX* ;x,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,13.71094,2.460938
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,339.2578,3.164063
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,310.7813,358.2422
ALEX* ;x,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,310.0781,357.8906
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,310.0781,357.8906
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,310.0781,357.8906
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,310.0781,357.8906
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,310.4297,358.5938
ALEX* ;x,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,311.1328,359.6484
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,309.7266,359.6484
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,309.7266,359.6484
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,309.7266,359.6484
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,309.7266,359.6484
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,309.7266,359.6484
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,309.7266,359.6484
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,309.7266,359.6484
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,309.7266,359.6484
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,309.7266,359.6484
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,309.7266,359.6484
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,309.7266,359.6484
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,309.7266,359.6484
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,309.7266,359.6484
ALEX* ;x,Terrorist,-1708,506,-63.96875,Gallil,100,0,0,0,0,False,False,False,309.7266,359.6484
ALEX* ;x,Terrorist,-1708,506,-63.96875,Gallil,100,0,0,0,0,False,False,False,309.7266,359.6484
