Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,880.0345,38.55219,173.9459,AK47,100,100,-42.56975,0.6938677,67.61838,False,True,False,88.94531,1.054688
PnX | CSGOmall.com,Terrorist,877.6965,38.97192,173.6306,AK47,100,100,-42.45927,13.09007,0,False,True,False,59.41407,5.273438
PnX | CSGOmall.com,Terrorist,875.15,40.29827,173.3536,AK47,100,100,-36.42093,28.53493,0,False,True,False,7.03125,3.867188
PnX | CSGOmall.com,Terrorist,873.404,42.84538,173.1818,AK47,100,100,-18.64201,41.22886,0,False,True,False,315,356.4844
PnX | CSGOmall.com,Terrorist,872.7028,45.69697,173.0992,AK47,100,100,-5.037328,48.39847,0,False,True,False,293.2031,352.2656
PnX | CSGOmall.com,Terrorist,872.7793,48.47329,173.8653,AK47,100,100,5.714028,52.49269,0,False,True,False,290.3906,351.9141
PnX | CSGOmall.com,Terrorist,873.5391,52.39071,173.9563,AK47,100,100,14.01755,58.53052,0,True,True,False,294.6094,351.2109
PnX | CSGOmall.com,Terrorist,874.3167,53.79853,174.038,AK47,100,100,10.89073,0,0,True,True,False,296.0156,350.5078
PnX | CSGOmall.com,Terrorist,874.5836,53.79853,174.063,AK47,100,100,1.222876,0,0,True,True,False,295.6641,350.5078
PnX | CSGOmall.com,Terrorist,875.0504,53.79853,183.1127,AK47,100,100,20.02062,0,276.9934,True,True,False,294.9609,351.2109
PnX | CSGOmall.com,Terrorist,877.4943,53.89204,189.8623,AK47,100,100,54.40254,11.96918,226.9934,False,True,False,294.9609,354.0234
PnX | CSGOmall.com,Terrorist,879.965,56.64395,202.487,AK47,100,100,36.61071,50.29809,176.9934,False,True,False,294.9609,355.4297
PnX | CSGOmall.com,Terrorist,882.5391,60.18052,212.9543,AK47,100,100,36.61071,50.29809,120.7434,False,True,False,294.9609,355.4297
PnX | CSGOmall.com,Terrorist,884.8272,63.32413,218.9383,AK47,100,100,36.61071,50.29809,70.74338,False,True,False,294.9609,355.4297
PnX | CSGOmall.com,Terrorist,887.1153,66.46775,221.7973,AK47,100,100,36.61071,50.29809,20.74338,False,True,False,294.9609,355.4297
