Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Flash,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Flash,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Flash,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Flash,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Flash,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Flash,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Flash,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Flash,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Flash,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Flash,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Flash,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Flash,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Flash,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Flash,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Flash,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Flash,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Flash,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Flash,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Flash,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Flash,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,HE,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,HE,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,HE,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Flash,100,100,0,0,0,False,True,False,353.6719,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Flash,100,100,0,0,0,False,True,False,353.6719,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Flash,100,100,0,0,0,False,True,False,353.6719,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Flash,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Flash,100,100,0,0,0,False,True,False,354.375,3.515625
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,100,0,0,0,False,True,False,354.375,3.515625
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,100,0,0,0,False,True,False,354.375,3.515625
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,HE,100,100,0,0,0,False,True,False,354.375,3.515625
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,HE,100,100,0,0,0,False,True,False,354.7266,3.515625
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,HE,100,100,0,0,0,False,True,False,354.7266,3.515625
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Flash,100,100,0,0,0,False,True,False,354.7266,3.515625
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Flash,100,100,0,0,0,False,True,False,354.7266,3.515625
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Flash,100,100,0,0,0,False,True,False,354.7266,3.515625
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Flash,100,100,0,0,0,False,True,False,354.7266,3.515625
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Flash,100,100,0,0,0,False,True,False,354.7266,3.515625
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,100,0,0,0,False,True,False,354.7266,3.515625
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,100,0,0,0,False,True,False,354.7266,3.515625
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,HE,100,100,0,0,0,False,True,False,354.7266,3.515625
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,HE,100,100,0,0,0,False,True,False,355.4297,3.515625
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,HE,100,100,0,0,0,False,True,False,358.2422,2.8125
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,HE,100,100,0,0,0,False,True,False,358.2422,2.8125
[R] NillE ;-),Terrorist,-1729.752,226.7176,-63.96878,HE,100,100,50.22577,-1.560158,0,False,True,False,358.2422,2.8125
[R] NillE ;-),Terrorist,-1724.432,226.5524,-63.96878,HE,100,100,110.7371,-3.439813,0,False,True,False,358.2422,2.8125
[R] NillE ;-),Terrorist,-1715.819,226.2848,-63.96878,HE,100,100,156.8288,-4.871555,0,False,True,False,358.2422,2.8125
[R] NillE ;-),Terrorist,-1704.77,225.9417,-63.96878,HE,100,100,190.7779,-5.926113,0,False,True,False,358.2422,2.8125
[R] NillE ;-),Terrorist,-1691.928,225.5427,-63.96878,HE,100,100,215.7833,-6.702853,0,False,True,False,358.2422,2.8125
[R] NillE ;-),Terrorist,-1677.766,225.1028,-63.96878,HE,100,100,234.2012,-7.274966,0,False,True,False,358.2422,2.8125
[R] NillE ;-),Terrorist,-1662.664,224.6337,-63.96878,HE,100,100,244.8819,-7.606738,0,False,True,False,358.2422,2.8125
[R] NillE ;-),Terrorist,-1647.359,224.1582,-63.96878,HE,100,100,244.8819,-7.606738,0,False,True,False,358.2422,2.8125
[R] NillE ;-),Terrorist,-1632.054,223.6827,-63.96878,HE,100,100,244.8819,-7.606738,0,False,True,False,358.2422,2.8125
[R] NillE ;-),Terrorist,-1616.75,223.2073,-63.96878,HE,100,100,244.8819,-7.606738,0,False,True,False,358.2422,2.8125
[R] NillE ;-),Terrorist,-1601.404,222.7306,-63.96878,Knife,100,100,248.3146,-7.713368,0,False,True,False,358.2422,2.8125
[R] NillE ;-),Terrorist,-1585.787,222.2455,-63.96878,Knife,100,100,249.8795,-7.761979,0,False,True,False,358.2422,2.8125
[R] NillE ;-),Terrorist,-1570.17,221.7603,-63.96879,Knife,100,100,249.8795,-7.761979,0,False,True,False,358.2422,2.8125
[R] NillE ;-),Terrorist,-1554.553,221.2752,-63.9688,Knife,100,100,249.8795,-7.761979,0,False,True,False,358.2422,2.8125
[R] NillE ;-),Terrorist,-1538.936,220.7901,-63.9688,Knife,100,100,249.8795,-7.761979,0,False,True,False,358.2422,2.8125
[R] NillE ;-),Terrorist,-1523.608,219.121,-63.9688,Knife,100,100,239.6036,-49.72818,0,False,True,False,358.2422,2.8125
[R] NillE ;-),Terrorist,-1509.018,214.4379,-63.9688,Knife,100,100,229.1009,-92.62082,0,False,True,False,358.2422,2.8125
[R] NillE ;-),Terrorist,-1495.05,207.5308,-63.9688,Knife,100,100,218.1655,-122.0812,0,False,True,False,358.9453,3.515625
[R] NillE ;-),Terrorist,-1481.005,200.7203,-63.9688,Knife,100,100,231.6839,-93.92854,0,False,True,False,0.703125,4.921875
[R] NillE ;-),Terrorist,-1466.155,195.8923,-63.9688,Knife,100,100,241.3634,-65.1439,0,False,True,False,2.460938,5.976563
