Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,AK47,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,AK47,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,AK47,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,AK47,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,AK47,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,AK47,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,AK47,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,AK47,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,AK47,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,AK47,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,AK47,100,0,0,0,0,False,False,False,346.6406,344.8828
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,AK47,100,0,0,0,0,False,False,False,346.6406,344.8828
