Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,HE,100,100,0,0,0,False,True,False,236.25,13.35938
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,HE,100,100,0,0,0,False,True,False,236.25,13.35938
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,HE,100,100,0,0,0,False,True,False,236.25,13.35938
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,HE,100,100,0,0,0,False,True,False,236.25,13.35938
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,HE,100,100,0,0,0,False,True,False,236.25,13.35938
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,HE,100,100,0,0,0,False,True,False,236.25,13.35938
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Glock,100,100,0,0,0,False,True,False,236.25,13.35938
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Glock,100,100,0,0,0,False,True,False,236.25,13.35938
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Glock,100,100,0,0,0,False,True,False,236.25,13.35938
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,AK47,100,100,0,0,0,False,True,False,236.25,13.35938
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,AK47,100,100,0,0,0,False,True,False,236.25,13.35938
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Knife,100,100,0,0,0,False,True,False,236.25,13.35938
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Knife,100,100,0,0,0,False,True,False,236.25,13.35938
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,HE,100,100,0,0,0,False,True,False,235.1953,7.03125
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,HE,100,100,0,0,0,False,True,False,234.1406,4.570313
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Flash,100,100,0,0,0,False,True,False,234.1406,4.570313
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Flash,100,100,0,0,0,False,True,False,234.1406,4.570313
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,235.5469,3.867188
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,230.2734,4.21875
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,226.7578,4.921875
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,226.7578,4.921875
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,226.7578,4.921875
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,223.5938,5.625
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,225.7031,5.976563
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,237.3047,7.734375
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,251.0156,7.382813
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Knife,100,100,0,0,0,False,True,False,262.2656,6.328125
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Knife,100,100,0,0,0,False,True,False,266.4844,5.273438
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,HE,100,100,0,0,0,False,True,False,266.8359,5.273438
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,HE,100,100,0,0,0,False,True,False,266.8359,5.273438
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,HE,100,100,0,0,0,False,True,False,266.8359,5.273438
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Flash,100,100,0,0,0,False,True,False,266.8359,5.273438
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Flash,100,100,0,0,0,False,True,False,266.8359,5.273438
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Flash,100,100,0,0,0,False,True,False,266.8359,5.273438
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Knife,100,100,0,0,0,False,True,False,266.8359,5.273438
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Knife,100,100,0,0,0,False,True,False,266.8359,5.273438
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Knife,100,100,0,0,0,False,True,False,266.8359,5.273438
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,HE,100,100,0,0,0,False,True,False,266.8359,5.273438
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,HE,100,100,0,0,0,False,True,False,266.8359,5.273438
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Knife,100,100,0,0,0,False,True,False,266.8359,5.273438
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Knife,100,100,0,0,0,False,True,False,266.8359,5.273438
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Knife,100,100,0,0,0,False,True,False,266.8359,5.273438
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,HE,100,100,0,0,0,False,True,False,266.8359,5.273438
