Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
device ;M;,Terrorist,-1612,499,-63.96877,Deagle,100,100,0,0,0,False,True,False,285.4688,4.921875
device ;M;,Terrorist,-1612,499,-63.96877,Deagle,100,100,0,0,0,False,True,False,285.1172,4.921875
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,285.1172,5.273438
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,285.1172,5.273438
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,284.7656,5.273438
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,284.4141,5.273438
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,284.4141,5.273438
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,284.4141,5.273438
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,284.4141,5.273438
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,284.4141,5.273438
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,284.4141,5.273438
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,284.4141,5.273438
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,284.4141,5.273438
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,284.4141,5.273438
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,284.4141,5.273438
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,284.7656,5.273438
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,284.7656,5.273438
