Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,240.1172,9.140625
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,284.4141,0.3515625
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,293.9063,359.2969
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,296.0156,358.5938
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,296.0156,358.5938
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,296.0156,358.5938
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,296.0156,358.5938
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,296.0156,358.5938
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,296.0156,358.5938
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,295.3125,358.5938
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,288.6328,358.9453
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,283.7109,358.5938
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,281.9531,358.9453
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,282.6563,359.6484
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,284.4141,359.6484
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,285.8203,359.6484
