Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,254.1797,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,254.1797,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,254.1797,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,254.1797,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,254.1797,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,254.1797,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,254.1797,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,HE,100,98,0,0,0,False,True,True,254.1797,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,HE,100,98,0,0,0,False,True,True,254.1797,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,254.1797,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,254.1797,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,254.1797,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,254.1797,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,254.1797,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,M4A1,100,98,0,0,0,False,True,True,254.1797,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,M4A1,100,98,0,0,0,False,True,True,254.1797,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,HE,100,98,0,0,0,False,True,True,254.1797,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,HE,100,98,0,0,0,False,True,True,254.1797,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,254.1797,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,254.1797,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,254.1797,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,254.1797,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,254.1797,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,254.1797,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,252.7734,7.734375
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,249.2578,7.734375
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,233.789,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,206.0156,5.976563
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,187.7344,3.515625
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,HE,100,98,0,0,0,False,True,True,179.2969,2.460938
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,HE,100,98,0,0,0,False,True,True,176.4844,3.164063
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,HE,100,98,0,0,0,False,True,True,176.4844,3.164063
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,HE,100,98,0,0,0,False,True,True,176.4844,3.164063
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,HE,100,98,0,0,0,False,True,True,176.4844,3.164063
