Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.2188,4.570313
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.2188,6.328125
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.2188,7.382813
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.2188,7.734375
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.2188,7.734375
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.2188,7.734375
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.2188,7.734375
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.5703,7.734375
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.5703,7.734375
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.5703,7.734375
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.5703,7.734375
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.5703,7.734375
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.5703,7.734375
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.5703,7.734375
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.5703,7.382813
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.5703,7.03125
