PathName,NumFrames,Average dead reckoned error distance,DeadUpdates,Average led reckoned error distance,LedUpdates
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4001_R1_fnatic_SK Gaming.player3.path0.csv,1515,12.7759071715103,659,13.8038975262411,257
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4001_R1_fnatic_SK Gaming.player4.path6.csv,3260,14.8516165632756,1433,16.3515330704,606
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4001_R1_fnatic_SK Gaming.player7.path14.csv,1708,14.1979736185168,641,16.1478985873523,335
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4002_R1_HellRaise_Reason Ga.player7.path12.csv,3065,15.3610324847515,1236,17.0452632105909,654
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4002_R1_HellRaise_Reason Ga.player8.path6.csv,326,19.2878087621279,213,20.1294490063664,46
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4002_R1_HellRaise_Reason Ga.player9.path15.csv,946,14.4682626445585,497,14.7264549892367,172
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4002_R1_TitanCS_o4o.player2.path12.csv,1416,15.5084264307546,623,16.6696322666634,333
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4002_R1_TitanCS_o4o.player4.path15.csv,1813,12.9746207221579,574,15.4513931598813,348
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4004_R1_1406400555.player0.path4.csv,476,22.0766011176114,381,22.5603430163916,103
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4004_R1_1406400555.player0.path28.csv,2754,11.6565717162297,888,13.5593925431342,513
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4004_R1_1406400555.player4.path6.csv,1985,11.644649136157,585,12.5345026491537,250
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4004_R1_1406400555.player7.path18.csv,3639,16.3903492710516,1641,18.6613760660026,821
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4004_R1_1406400555.player8.path28.csv,836,13.6970861445108,318,14.9869430807136,83
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4004_R1_HellRaise_SK Gaming.player0.path25.csv,1710,13.9516695607051,659,16.5960502024893,381
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4004_R1_HellRaise_SK Gaming.player1.path13.csv,835,13.2977527234466,364,14.0086983142595,106
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4004_R1_HellRaise_SK Gaming.player5.path11.csv,2063,16.8886795365636,1055,18.2577486860286,434
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4004_R1_Virtus Pr_Natus Vin.player0.path19.csv,2266,9.94758594927503,648,10.9845740760004,335
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4004_R1_Virtus Pr_Natus Vin.player8.path9.csv,3905,14.8403059560504,1634,16.6580757997362,862
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4004_R1_Virtus Pr_Natus Vin.player8.path11.csv,1975,16.1412390846183,938,18.2056998005935,544
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4004_R1_Virtus Pr_Natus Vin.player9.path9.csv,2683,16.9539371532535,1342,18.8840363716008,586
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4004_R2_Epsilon_Natus Vin.player0.path27.csv,1084,16.3331112171768,658,16.9000500238705,195
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4004_R2_Epsilon_Natus Vin.player3.path24.csv,2715,13.5891460367798,837,15.3884633681404,435
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4004_R3_1406401160.player4.path11.csv,1217,14.6933929330658,519,15.7257657969391,291
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4063_R1_fnatic_Berzerk.player2.path12.csv,1749,12.6481369104173,410,14.4478547308899,389
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4063_R1_fnatic_Berzerk.player2.path21.csv,519,10.1772841996706,114,11.7938782176577,92
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4063_R1_HellRaise_OnlineBOT.player2.path39.csv,749,11.7942644913816,166,12.8689473861448,164
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4063_R1_HellRaise_OnlineBOT.player9.path12.csv,1497,12.8627867934306,372,14.9732257539732,226
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4063_R1_HellRaise_Virtus Pr.player0.path1.csv,770,12.7294788413123,226,14.0557209017915,133
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4063_R1_HellRaise_Virtus Pr.player5.path14.csv,1411,12.5176892254289,323,13.5354908571949,347
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4063_R1_HellRaise_Virtus Pr.player9.path9.csv,836,6.29786174040006,85,7.50247393039047,90
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4063_R1_Reason Ga_Berzerk.player5.path20.csv,1786,10.7954093793801,298,11.5438914221405,323
